Capital,Country,Continent,Population
Abu Dhabi,United Arab Emirates,Asia,585097
Abuja,Nigeria,Africa,778567
Accra,Ghana,Africa,1640507
Adamstown,Pitcairn Islands,Australia,56
Addis Ababa,Ethiopia,Africa,3040740
Algiers,Algeria,Africa,3415811
Alofi,Niue,Australia,616
Amman,Jordan,Asia,2600603
Amsterdam,Netherlands,Europe,855965
Andorra la Vella,Andorra,Europe,22884
Ankara,Turkey,Europe,5445026
Antananarivo,Madagascar,Africa,1613375
Apia,Samoa,Australia,39813
Ashgabat,Turkmenistan,Asia,763537
Asmara,Eritrea,Africa,694000
Asuncion,Paraguay,South America,520722
Atafu,Tokelau,Australia,524
Athens,Greece,Europe,664046
Avarua,Cook Islands,Australia,5445
Baghdad,Iraq,Asia,6719500
Baku,Azerbaijan,Europe,2204200
Bamako,Mali,Africa,1289626
Bandar Seri Begawan,Brunei Darussalam,Asia,28135
Bangkok,Thailand,Asia,8305218
Bangui,Central African Republic,Africa,731548
Banjul,The Gambia,Africa,34828
Basseterre,Saint Kitts and Nevis,North America,13043
Beijing,China,Asia,21542000
Beirut,Lebanon,Asia,1574387
Belgrade,Serbia,Europe,1154589
Belmopan,Belize,North America,16451
Berlin,Germany,Europe,3748148
Bern,Switzerland,Europe,121631
Bishkek,Kyrgyzstan,Asia,843240
Bissau,Guinea Bissau,Africa,452640
Bogota,Colombia,South America,7181469
Brades,Montserrat,North America,391
Brasilia,Brazil,South America,2648532
Bratislava,Slovakia,Europe,424207
Brazzaville,Republic of Congo,Africa,1827000
Bridgetown,Barbados,North America,110000
Brussels,Belgium,Europe,148873
Bucharest,Romania,Europe,1942254
Budapest,Hungary,Europe,1729040
Buenos Aires,Argentina,South America,2891082
Cairo,Egypt,Africa,9500000
Canberra,Australia,Australia,410301
Caracas,Venezuela,South America,1838939
Castries,Saint Lucia,North America,70000
Charlotte Amalie,US Virgin Islands,North America,10817
Chisinau,Moldova,Europe,794800
Cockburn Town,Turks and Caicos Islands,North America,3700
Colombo,Sri Lanka,Asia,753000
Conakry,Guinea,Africa,1399981
Copenhagen,Denmark,Europe,794128
Dakar,Senegal,Africa,1030594
Damascus,Syria,Asia,3500000
Dhaka,Bangladesh,Asia,8906039
Dili,Timor Leste,Asia,59069
Djibouti,Djibouti,Africa,475332
Dodoma,Tanzania,Africa,411000
Doha,Qatar,Asia,1450000
Douglas,Isle of Man,Europe,26600
Dublin,Ireland,Europe,1173179
Dushanbe,Tajikistan,Asia,582496
Flying Fish Cove,Christmas Island,Australia,1493
Freetown,Sierra Leone,Africa,1070200
Funafuti,Tuvalu,Australia,4492
Gaborone,Botswana,Africa,225656
George Town,Cayman Islands,North America,26798
Georgetown,Guyana,South America,134599
Gibraltar,Gibraltar,Europe,29286
Gitega,Burundi,Africa,135467
Guatemala City,Guatemala,North America,2450212
Gustavia,Saint Barthelemy,North America,6000
Hagatna,Guam,Australia,1100
Hamilton,Bermuda,North America,854
Hanoi,Vietnam,Asia,7781631
Harare,Zimbabwe,Africa,1487028
Havana,Cuba,North America,2135498
Helsinki,Finland,Europe,635591
Hong Kong,Hong Kong,Asia,7482500
Honiara,Solomon Islands,Australia,59288
Islamabad,Pakistan,Asia,2001579
Jakarta,Indonesia,Asia,10075310
Jamestown,Saint Helena,Africa,714
Jerusalem,Israel,Asia,927000
Juba,South Sudan,Africa,372410
Kabul,Afghanistan,Asia,3140853
Kampala,Uganda,Africa,1659600
Kathmandu,Nepal,Asia,1003285
Khartoum,Sudan,Africa,1840661
Kigali,Rwanda,Africa,718414
King Edward Point,South Georgia and South Sandwich Islands,Antarctica,22
Kingston,Norfolk Island,Australia,701063
Kingston,Jamaica,North America,701063
Kingstown,Saint Vincent and the Grenadines,North America,40020
Kinshasa,Democratic Republic of the Congo,Africa,12691000
Kuala Lumpur,Malaysia,Asia,1381830
Kuwait City,Kuwait,Asia,1171880
Kyiv,Ukraine,Europe,2847200
La Paz,Bolivia,South America,816004
Libreville,Gabon,Africa,556425
Lilongwe,Malawi,Africa,902388
Lima,Peru,South America,8852000
Lisbon,Portugal,Europe,564657
Ljubljana,Slovenia,Europe,280140
Lome,Togo,Africa,824738
London,United Kingdom,Europe,8908081
Longyearbyen,Svalbard,Europe,2075
Luanda,Angola,Africa,2453779
Lusaka,Zambia,Africa,1331254
Luxembourg,Luxembourg,Europe,119214
Macau,Macau,Asia,520400
Madrid,Spain,Europe,3233527
Majuro,Marshall Islands,Australia,25400
Malabo,Equatorial Guinea,Africa,100677
Male,Maldives,Asia,103693
Managua,Nicaragua,North America,926883
Manama,Bahrain,Asia,140616
Manila,Philippines,Asia,1780148
Maputo,Mozambique,Africa,1076689
Mariehamn,Aland Islands,Europe,11296
Marigot,Saint Martin,North America,5700
Maseru,Lesotho,Africa,267652
Mata Utu,Wallis and Futuna,Australia,1191
Mbabane,Swaziland,Africa,81594
Mexico City,Mexico,North America,8918653
Minsk,Belarus,Europe,1702061
Mogadishu,Somalia,Africa,1097133
Monaco,Monaco,Europe,35986
Monrovia,Liberia,Africa,1010970
Montevideo,Uruguay,South America,1369797
Moroni,Comoros,Africa,60200
Moscow,Russia,Europe,12506468
Muscat,Oman,Asia,797000
N Djamena,Chad,Africa,751288
Nairobi,Kenya,Africa,3138369
Nassau,Bahamas,North America,248948
Naypyidaw,Myanmar,Asia,925000
New Delhi,India,Asia,14200004
Ngerulmud,Palau,Australia,271
Niamey,Niger,Africa,794814
Nicosia,Cyprus,Europe,270000
Nicosia,Cyprus,Europe,270000
Nouakchott,Mauritania,Africa,719167
Noumea,New Caledonia,Australia,89207
Nuku alofa,Tonga,Australia,22400
Nur Sultan,Kazakhstan,Asia,1029556
Nuuk,Greenland,North America,15469
Oranjestad,Aruba,North America,29998
Oslo,Norway,Europe,645701
Ottawa,Canada,North America,934243
Ouagadougou,Burkina Faso,Africa,1005231
Pago Pago,American Samoa,Australia,52000
Palikir,Federated States of Micronesia,Australia,9900
Panama City,Panama,North America,813097
Papeete,French Polynesia,Australia,26200
Paramaribo,Suriname,South America,254147
Paris,France,Europe,2241346
Philipsburg,Sint Maarten,North America,1338
Phnom Penh,Cambodia,Asia,2011725
Podgorica,Montenegro,Europe,141854
Port au Prince,Haiti,North America,1235227
Port Louis,Mauritius,Africa,147251
Port Moresby,Papua New Guinea,Australia,299396
Port of Spain,Trinidad and Tobago,North America,50479
Port Vila,Vanuatu,Australia,38000
Porto Novo,Benin,Africa,223552
Prague,Czech Republic,Europe,1241664
Praia,Cape Verde,Africa,125464
Pretoria,South Africa,Africa,2345908
Pristina,Kosovo,Europe,198214
Pyongyang,North Korea,Asia,3144005
Quito,Ecuador,South America,1504991
Rabat,Morocco,Africa,1789635
Reykjavik,Iceland,Europe,115000
Riga,Latvia,Europe,713016
Riyadh,Saudi Arabia,Asia,7676654
Road Town,British Virgin Islands,North America,9400
Rome,Italy,Europe,2873104
Roseau,Dominica,North America,14847
Saint Pierre,Saint Pierre and Miquelon,North America,5509
Saint Georges,Grenada,North America,7500
Saint Helier,Jersey,Europe,28380
Saint Johns,Antigua and Barbuda,North America,22679
Saipan,Northern Mariana Islands,Australia,62392
San Jose,Costa Rica,North America,328195
San Juan,Puerto Rico,North America,421356
San Marino,San Marino,Europe,4493
San Salvador,El Salvador,North America,521366
Sana a,Yemen,Asia,1431649
Santiago,Chile,South America,6310000
Santo Domingo,Dominican Republic,North America,1111838
Sao Tome,Sao Tome and Principe,Africa,56166
Sarajevo,Bosnia and Herzegovina,Europe,395133
Seoul,South Korea,Asia,9838892
Singapore,Singapore,Asia,5638700
Skopje,Macedonia,Europe,521000
Sofia,Bulgaria,Europe,1277000
Saint Peter Port,Guernsey,Europe,16701
Stanley,Falkland Islands,South America,2115
Stockholm,Sweden,Europe,962154
Suva,Fiji,Australia,84410
Taipei,Taiwan,Asia,2668572
Tallinn,Estonia,Europe,440206
Tarawa,Kiribati,Australia,30000
Tashkent,Uzbekistan,Asia,2207850
Tbilisi,Georgia,Europe,1044993
Tegucigalpa,Honduras,North America,735982
Tehran,Iran,Asia,8693706
The Valley,Anguilla,North America,1169
Thimphu,Bhutan,Asia,101259
Tirana,Albania,Europe,763634
Tokyo,Japan,Asia,13929286
Torshavn,Faroe Islands,Europe,18573
Tripoli,Libya,Africa,1184045
Tunis,Tunisia,Africa,767629
Ulaanbaatar,Mongolia,Asia,907802
Vaduz,Liechtenstein,Europe,5248
Valletta,Malta,Europe,6444
Vatican City,Vatican City,Europe,826
Victoria,Seychelles,Africa,29298
Vienna,Austria,Europe,1749673
Vientiane,Laos,Asia,287579
Vilnius,Lithuania,Europe,556723
Warsaw,Poland,Europe,1711324
Washington D.C.,US Minor Outlying Islands,Australia,658893
Washington D.C.,United States,North America,658893
Wellington,New Zealand,Australia,215400
West Island,Cocos Islands,Australia,120
Willemstad,Curaçao,North America,49885
Windhoek,Namibia,Africa,252721
Yamoussoukro,Cote d Ivoire,Africa,454929
Yaounde,Cameroon,Africa,2765568
Yaren,Nauru,Australia,1100
Yerevan,Armenia,Europe,1080487
Zagreb,Croatia,Europe,804200
